ROWID,HCS_POS_POSITION,HCS_POS_GRADE_SUB,POS_CAT_DESCR,POS_CAT,LOCATION,DESCR,DEPTID,Department, PAYGROUP ,POSITION_NBR, BUILDING ,HIRE_DT,TERMINATION_DT,YOS,BIRTHDATE,AGE,HCS_POS_TYPE,REASON_LEAVE,ACTION_REASON,GRADE,STEP,ANNUAL_RT,DAILY_RT,EMPL_STATUS
24,CAFETERIA,ASSTMGR,Food Service,5,198,Acad Tech and Academics,198,Acad Tech and Academics,183,4791,10,8/26/2004,7/31/2018,14,4/14/1955,69,0,Retire,3,16,29,22256.965,121.6227596,0
25,CAFETERIA,OPERATOR,Food Service,5,198,Acad Tech and Academics,198,Acad Tech and Academics,183,4706,10,7/13/2000,6/30/2015,15,6/28/1949,75,0,Retire,3,15,26,18544.305,101.335,0
26,CAFETERIA,OPERATOR,Food Service,5,198,Acad Tech and Academics,198,Acad Tech and Academics,185,4706,10,3/1/2000,4/25/2024,24,2/26/1968,56,0,Active,1,101,18,23737.35,128.31,1
27,CAFETERIA,OPERATOR,Food Service,5,198,Acad Tech and Academics,198,Acad Tech and Academics,183,3020,10,11/17/1989,4/25/2024,35,1/27/1957,67,0,Retire,3,15,31,21846.686,119.3807978,0
28,CAFETERIA,OPERATOR,Food Service,5,198,Acad Tech and Academics,198,Acad Tech and Academics,185,3020,10,1/6/2010,4/25/2024,14,11/22/1980,44,0,Active,1,101,10,22416.45,121.17,1
29,CAFETERIA,OPERATOR,Food Service,5,198,Acad Tech and Academics,198,Acad Tech and Academics,185,3020,10,1/6/2010,1/19/2024,14,11/20/1963,61,0,Retire,3,101,0,22416.45,121.17,0
30,CAFETERIA,ASSTMGR,Food Service,5,198,Acad Tech and Academics,198,Acad Tech and Academics,188,4791,10,11/10/2010,4/25/2024,14,12/17/1962,62,0,Active,1,102,17,30425.92,161.84,1
31,CAFETERIA,OPERATOR,Food Service,5,198,Acad Tech and Academics,198,Acad Tech and Academics,183,3723,10,8/20/2014,2/28/2021,7,2/5/1954,70,0,Moving,12,15,18,15701.4,85.8,0
32,CAFETERIA,OPERATOR,Food Service,5,198,Acad Tech and Academics,198,Acad Tech and Academics,185,3723,10,1/16/2018,4/25/2024,6,12/10/1966,58,0,Active,1,101,17,21545.1,116.46,1
33,CAFETERIA,MGR,Food Service,5,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2843,10,9/4/2018,4/25/2024,6,4/30/1954,70,0,Active,1,106,28,44064.8,231.92,1
34,CAFETERIA,OPERATOR,Food Service,5,198,Acad Tech and Academics,198,Acad Tech and Academics,183,3020,10,1/6/2020,3/2/2022,2,12/31/1997,27,0,Leaving Profession,5,101,4,16319.94,89.18,0
35,CLERK,III,Support Staff,8,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3380,10,10/18/2006,3/28/2007,1,1/15/1937,87,0,Unknown,4,19,27,26832.75,141.225,0
36,CLERK,V,Support Staff,8,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2944,10,8/1/2008,4/25/2024,16,3/2/1968,56,0,Active,1,106,28,41310.75,217.425,1
37,GUIDCOUN,N/A,Non-Teaching Prof,7,198,Acad Tech and Academics,198,Acad Tech and Academics,220,2942,10,1/19/1981,6/29/2007,26,5/22/1942,82,1,Retire,3,32,27,74269.8,337.59,0
38,GUIDCOUN,N/A,Non-Teaching Prof,7,198,Acad Tech and Academics,198,Acad Tech and Academics,220,2942,10,7/23/2007,4/25/2024,17,7/9/1965,59,1,Active,1,32,29,106286.4,483.12,1
39,GUIDCOUN,N/A,Non-Teaching Prof,7,198,Acad Tech and Academics,198,Acad Tech and Academics,220,2942,10,6/27/2007,8/30/2013,6,8/3/1953,71,1,Retire,3,35,23,83772.11,380.7823182,0
40,GUIDCOUN,N/A,Non-Teaching Prof,7,198,Acad Tech and Academics,198,Acad Tech and Academics,220,5307,10,8/21/2007,4/25/2024,17,3/3/1970,54,1,Active,1,32,24,96976,440.8,1
41,INSTCOACH,N/A,Non-Teaching Prof,7,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2948,10,8/23/1983,6/30/2017,34,8/19/1956,68,1,Retire,3,32,28,72311.661,380.5876895,0
42,INSTCOACH,N/A,Non-Teaching Prof,7,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2948,10,8/6/2016,4/25/2024,8,9/17/1985,39,1,Active,1,32,11,66226.4,348.56,1
43,INTERVENT,N/A,Non-Teaching Prof,7,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2093,10,9/8/2000,3/7/2012,12,3/9/1965,59,1,Health Issues ,10,26,9,22516.181,118.5062158,0
44,INTERVENT,IV,Non-Teaching Prof,7,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3223,10,8/20/2004,4/25/2024,20,4/30/1978,46,1,Active,1,205,21,61924.8,325.92,1
45,INTERVENT,N/A,Non-Teaching Prof,7,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2093,10,8/3/2023,4/25/2024,1,5/16/1994,30,1,Active,1,203,4,40249.6,211.84,1
46,MEDIASPEC,N/A,Non-Teaching Prof,7,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3095,10,8/23/1989,11/10/2012,23,10/19/1956,68,1,Death,2,31,27,69385.439,365.1865211,0
47,MEDIASPEC,N/A,Non-Teaching Prof,7,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3095,10,8/9/2000,4/25/2024,24,3/11/1974,50,1,Active,1,32,23,82232,432.8,1
48,NURSERN,N/A,Non-Teaching Prof,7,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2953,10,10/4/1993,5/6/2014,21,10/9/1953,71,1,Retire,3,24,27,48357.751,254.5144789,0
49,NURSERN,N/A,Non-Teaching Prof,7,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2953,10,1/22/2007,4/25/2024,17,11/18/1979,45,1,Active,1,113,17,51892.8,273.12,1
50,PARAPRO,WORKBASED,Support Staff,8,198,Acad Tech and Academics,198,Acad Tech and Academics,185,6234,10,11/6/2006,4/25/2024,18,4/22/1971,53,0,Active,1,103,10,24320.1,131.46,1
51,PRINCIPAL,II,Principals,2,198,Acad Tech and Academics,198,Acad Tech and Academics,246,2943,10,8/15/1994,4/25/2024,30,1/4/1968,56,1,Active,1,308,23,158719.2,645.2,1
52,SECRETARY,II,Support Staff,8,198,Acad Tech and Academics,198,Acad Tech and Academics,240,5012,10,7/7/2000,12/31/2021,21,5/5/1959,65,0,Retire,3,104,28,47155.09,196.4795417,0
53,SECRETARY,I,Support Staff,8,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3143,10,8/25/1988,5/4/2021,33,11/17/1959,65,0,Retire,3,19,31,32093.28,168.912,0
54,SECRETARY,II,Support Staff,8,198,Acad Tech and Academics,198,Acad Tech and Academics,240,5012,10,1/6/2009,4/25/2024,15,4/7/1982,42,0,Active,1,104,14,37656,156.9,1
55,SECRETARY,I,Support Staff,8,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3143,10,8/6/2021,4/25/2024,3,10/3/1972,52,0,Active,1,103,15,29070,153,1
56,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,6273,10,10/11/1999,4/25/2024,25,1/28/1975,49,1,Active,1,29,19,66788.8,351.52,1
57,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/20/2004,7/14/2014,10,11/27/1962,62,1,Unknown,4,28,13,45671.49,240.3762632,0
58,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/20/1984,6/30/2011,27,2/25/1958,66,1,Retire,3,32,28,68816.1,362.19,0
59,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/18/1992,4/25/2024,32,1/29/1970,54,1,Active,1,32,31,95243.2,501.28,1
60,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/23/1989,1/6/2020,31,3/22/1954,70,1,Retire,3,31,30,78109.22,411.1011579,0
61,TEACHER,MAJORS,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,5011,10,8/24/1993,6/30/2017,24,12/12/1952,72,1,Retire,3,31,23,65382.8,344.12,0
62,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/14/1995,4/25/2024,29,12/28/1966,58,1,Active,1,32,31,95243.2,501.28,1
63,TEACHER,VOCATIONAL,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2946,10,8/23/1989,6/30/2014,25,6/5/1951,73,1,Retire,3,31,24,65383.081,344.1214789,0
64,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/23/1983,4/25/2024,41,12/28/1960,64,1,Retire,3,32,30,86974.4,457.76,0
65,TEACHER,MAJORS,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,5011,10,8/17/1998,4/25/2024,26,11/29/1971,53,1,Active,1,31,25,79982.4,420.96,1
66,TEACHER,VOCATIONAL,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2946,10,9/1/1969,6/29/2007,38,11/9/1947,77,1,Retire,3,32,27,64142.1,337.59,0
67,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/23/1983,6/30/2020,37,12/6/1961,63,1,Retire,3,31,30,78109.22,411.1011579,0
68,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/16/1993,6/30/2018,25,11/30/1948,76,1,Retire,3,32,28,73757.894,388.1994421,0
69,TEACHER,VOCATIONAL,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2946,10,8/20/1985,6/28/2007,22,8/18/1954,70,1,Retire,3,31,21,55742.201,293.3800053,0
70,TEACHER,VOCATIONAL,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2946,10,8/9/2001,6/30/2008,7,10/18/1947,77,1,Retire,3,32,26,63691.855,335.2202895,0
71,TEACHER,VOCATIONAL,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2946,10,7/1/1970,6/30/2010,40,8/7/1948,76,1,Retire,3,31,28,67351.2,354.48,0
72,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3477,10,8/20/1993,6/30/2018,25,1/7/1959,65,1,Retire,3,35,27,79000.422,415.7916947,0
73,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/9/2001,6/30/2021,20,3/24/1956,68,1,Retire,3,31,30,78109.22,411.1011579,0
74,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3477,10,8/19/1993,6/30/2020,27,10/6/1957,67,1,Retire,3,32,30,79805.279,420.0277842,0
75,TEACHER,VOCATIONAL,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,4654,10,8/17/1998,8/5/2013,15,3/1/1962,62,1,Moving,12,31,26,66690.068,351.0003579,0
76,TEACHER,VOCATIONAL,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2946,10,1/20/2004,6/30/2010,6,9/9/1959,65,1,Moving,12,31,6,43557.5,229.25,0
77,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3477,10,8/9/2001,6/30/2011,10,10/7/1957,67,1,Retire,3,28,28,58497.2,307.88,0
78,TEACHER,CROSSCAT,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2952,10,9/1/1966,6/29/2007,41,5/20/1944,80,1,Retire,3,31,27,31388,165.2,0
79,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/9/2001,4/25/2024,23,5/16/1969,55,1,Active,1,32,27,88479.2,465.68,1
80,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3477,10,8/18/1992,4/25/2024,32,8/2/1966,58,1,Active,1,31,31,89254.4,469.76,1
81,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,2/2/2001,6/30/2020,19,5/13/1959,65,1,Retire,3,31,12,55236.651,290.7192158,0
82,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,2/19/1996,5/31/2019,23,12/18/1952,72,1,Retire,3,32,29,75231.222,395.9538,0
83,TEACHER,MAJORS,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,5011,10,8/22/2005,4/25/2024,19,6/23/1970,54,1,Active,1,31,27,82946.4,436.56,1
84,TEACHER,LEARNLOSS,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,6213,10,8/22/2005,4/25/2024,19,4/2/1967,57,1,Active,1,32,32,48556.4,255.56,1
85,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/22/2005,4/25/2024,19,1/29/1972,52,1,Active,1,32,26,86868,457.2,1
86,TEACHER,MAJORS,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,5011,10,8/22/2005,4/25/2024,19,12/7/1978,46,1,Active,1,31,18,70467.2,370.88,1
87,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/18/2005,4/25/2024,19,4/6/1982,42,1,Active,1,31,18,70467.2,370.88,1
88,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/18/2006,4/25/2024,18,4/18/1967,57,1,Active,1,32,20,77869.6,409.84,1
89,TEACHER,VOCATIONAL,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2946,10,8/18/2006,3/22/2013,7,9/13/1961,63,1,Moving,12,31,5,44878.848,236.2044632,0
90,TEACHER,VOCATIONAL,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2946,10,9/18/2006,6/29/2007,1,5/18/1973,51,1,Family Reasons ,7,28,4,34576.2,181.98,0
91,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3477,10,9/5/2006,8/4/2020,14,4/11/1964,60,1,Retire,3,32,21,67448.705,354.9931842,0
92,TEACHER,DEPCO,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3480,10,12/18/2006,8/22/2008,2,6/24/1964,60,1,Moving,12,31,6,44435.3,233.87,0
93,TEACHER,MAJORS,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,5011,10,11/28/2006,4/25/2024,18,5/4/1964,60,1,Active,1,35,14,74434.4,391.76,1
94,TEACHER,MAJORS,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,5011,10,1/9/2007,8/8/2023,16,1/16/1963,61,1,Leaving Profession,5,31,20,73051.2,384.48,0
95,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3477,10,6/15/2007,6/30/2008,1,7/16/1979,45,1,Moving,12,31,4,40321.686,212.2194,0
96,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3477,10,3/27/2007,6/30/2023,16,10/20/1982,42,1,Leaving Profession,5,31,15,64280.8,338.32,0
97,TEACHER,VOCATIONAL,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2946,10,8/21/2007,6/30/2008,1,10/16/1968,56,1,Another Position in Education ,6,31,4,40321.686,212.2194,0
98,TEACHER,PHYSED,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3481,10,7/31/2007,1/20/2009,2,11/29/1946,78,1,Retire,3,28,27,58493.4,307.86,0
99,TEACHER,MAJORS,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,5011,10,8/21/2007,6/30/2018,11,12/7/1948,76,1,Another Position in Education ,6,31,10,50543.8,266.02,0
100,TEACHER,VOCATIONAL,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2946,10,8/21/2007,6/30/2009,2,3/13/1962,62,1,Leaving Profession,5,35,2,45406.2,238.98,0
101,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3477,10,7/1/2007,1/17/2011,4,8/26/1947,77,1,Family Reasons ,7,31,28,67351.2,354.48,0
102,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3477,10,9/20/2007,6/30/2023,16,11/2/1979,45,1,Leaving Profession,5,29,15,59690.4,314.16,0
103,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3477,10,8/27/2007,4/25/2024,17,2/12/1975,49,1,Active,1,31,15,66788.8,351.52,1
104,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,12/10/2007,6/30/2010,3,11/5/1952,72,1,Family Reasons ,7,29,10,42852.6,225.54,0
105,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3477,10,5/1/2008,6/29/2012,4,11/14/1974,50,1,Moving,12,31,7,45778.481,240.9393737,0
106,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3477,10,9/3/2008,6/30/2011,3,3/26/1985,39,1,Unknown,4,31,0,39459.2,207.68,0
107,TEACHER,VOCATIONAL,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2946,10,8/24/2009,6/30/2011,2,9/14/1964,60,1,Another Position in Education ,6,31,4,41874.1,220.39,0
108,TEACHER,MAJORS,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,5011,10,9/15/2009,4/25/2024,15,1/2/1987,37,1,Active,1,31,10,61104,321.6,1
109,TEACHER,RESOURCE,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3288,10,10/7/2009,4/25/2024,15,8/10/1975,49,1,Active,1,32,12,67412,354.8,1
110,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/15/2011,4/25/2024,13,10/8/1983,41,1,Active,1,32,12,67412,354.8,1
111,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/15/2011,6/30/2019,8,10/15/1966,58,1,Retire,3,31,28,72188.611,379.9400579,0
112,TEACHER,MAJORS,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,5011,10,8/15/2011,4/25/2024,13,12/26/1971,53,1,Active,1,31,10,61104,321.6,1
113,TEACHER,VOCATIONAL,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2946,10,8/15/2011,8/15/2011,0,6/3/1977,47,1,Declined Position ,9,31,0,39459.2,207.68,0
114,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,7/24/2012,6/30/2019,7,7/23/1960,64,1,Retire,3,32,27,73033.302,384.3858,0
115,TEACHER,MAJORS,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,5011,10,8/1/2012,4/25/2024,12,2/16/1968,56,1,Active,1,31,19,71759.2,377.68,1
116,TEACHER,RESOURCE,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2957,10,8/21/2012,6/30/2013,1,10/31/1989,35,1,Moving,12,28,0,35305.321,185.8174789,0
117,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,1/11/2013,4/25/2024,11,9/2/1966,58,1,Active,1,31,8,58991.2,310.48,1
118,TEACHER,MAJORS,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,5011,10,8/14/2013,6/30/2019,6,1/6/1980,44,1,Leaving Profession,5,31,5,46234.468,243.3393053,0
119,TEACHER,RESOURCE,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2957,10,8/14/2013,6/29/2016,3,11/4/1990,34,1,Unknown,4,28,2,36731.689,193.3246789,0
120,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,1/21/2014,4/25/2024,10,4/18/1989,35,1,Active,1,31,8,58991.2,310.48,1
121,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3099,10,1/31/2014,1/30/2015,1,7/7/1974,50,1,Health Issues ,10,28,0,35305.321,185.8174789,0
122,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/6/2014,4/25/2024,10,9/23/1976,48,1,Active,1,31,14,65603.2,345.28,1
123,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/6/2014,6/30/2016,2,11/6/1987,37,1,Unknown,4,31,1,41463.898,218.2310421,0
124,TEACHER,MAJORS,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,5011,10,8/12/2014,4/25/2024,10,3/2/1978,46,1,Active,1,31,17,69220.8,364.32,1
125,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3477,10,8/18/2014,4/25/2024,10,6/11/1953,71,1,Active,1,32,32,97112.8,511.12,1
126,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/20/2014,4/25/2024,10,5/11/1970,54,1,Active,1,35,13,73096.8,384.72,1
127,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3477,10,8/6/2015,7/11/2016,1,10/2/1981,43,1,Another Position in Education ,6,32,5,45857.538,241.3554632,0
128,TEACHER,RESOURCE,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,2957,10,4/20/2015,4/25/2024,9,6/14/1984,40,1,Active,1,28,7,52181.6,274.64,1
129,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/6/2016,6/30/2022,6,3/17/1989,35,1,Leaving Profession,5,28,10,48442.4,254.96,0
130,TEACHER,HIGH,Teachers,1,198,Acad Tech and Academics,198,Acad Tech and Academics,190,3588,10,8/6/2016,4/25/2024,8,10/28/1979,45,1,Active,1,31,18,70467.2,370.88,1
